time_s,collector_c,tank_c,pump_on,irradiance_w_m2,solar_absorbed_w,collector_loss_w,tank_loss_w,transfer_w,incident_energy_j,absorbed_energy_j,collector_loss_energy_j,tank_loss_energy_j,transfer_energy_j,pump_electric_energy_j,stored_energy_change_j,tank_energy_change_j,balance_residual_j
57480.0,53.282328410728766,48.99484492814183,1,400.20900286056127,1200.6270085816839,665.6465682145754,57.98968985628366,537.6504287164017,54527739.75168199,40895804.81376143,15086155.755179109,1070723.7724948896,25310414.13242144,742013.9705634912,24738925.2860875,24239690.35992657,7.078051567077637e-08
57540.0,53.27022892310383,49.029061245798005,1,397.9585442980062,1193.8756328940185,665.4045784620766,58.05812249159601,531.8424267341504,54623521.888706565,40967641.41652986,15126087.570113042,1074205.211083197,25342500.412570313,743513.9705634912,24767348.635333687,24268295.20148713,6.705522537231445e-08
57600.0,53.25542249238258,49.06284544215503,1,395.61121639198035,1186.833649175941,665.1084498476516,58.12569088431006,525.7491620985345,54718752.10521605,41039064.078911975,15166003.221978262,1077690.7299064382,25374229.519548025,745013.9705634912,24795370.127027344,24296538.789641604,7.078051567077637e-08
57660.0,53.23809823491447,49.096178056372004,1,393.1759873587452,1179.5279620762356,664.7619646982894,58.19235611274401,519.3967903892249,54813408.24226765,41110056.181700684,15205899.577126428,1081180.2759236062,25405585.13105058,746513.9705634912,24822976.328650713,24324404.855126996,6.332993507385254e-08
57720.0,53.21843310576098,49.12904144449158,1,390.66115739437777,1171.9834721831332,664.3686621152196,58.258082888983154,512.8097143231831,54907470.21280698,41180602.659605175,15245773.721555203,1084673.7938686684,25436552.4414636,748013.9705634912,24850155.144181374,24351878.64759496,7.078051567077637e-08
57780.0,53.19659193734274,49.16141965402075,1,388.0743772696544,1164.2231318089632,663.9318387468547,58.322839308041495,506.01060432857764,55000919.84347552,41250689.88260659,15285622.946324121,1088171.2264610503,25467118.05722237,749513.9705634912,24876895.709821485,24378946.830761343,6.705522537231445e-08
57840.0,53.17272760598387,49.19329830058787,1,385.42267140411934,1156.2680142123581,663.4545521196775,58.38659660117574,499.0204348966588,55093740.72143722,41320305.54107786,15325444.733095525,1091672.5146011852,25497269.89389262,751013.9705634912,24903188.293381218,24405597.37929146,7.078051567077637e-08
57900.0,53.14698130714795,49.22466444771602,1,382.7124645131144,1148.1373935393433,662.939626142959,58.449328895432046,491.85853417276405,55185918.047188945,41389438.53539165,15365236.739942465,1095177.597551439,25526997.07584201,752513.9705634912,24929024.197897814,24431819.478290595,6.705522537231445e-08
57960.0,53.11948292108881,49.25550649057534,1,379.949610991735,1139.8488329752051,662.3896584217762,58.511012981150685,484.5426443863888,55277438.494110726,41458078.87058298,15404996.787542889,1098686.4131028403,25556289.83922381,754013.9705634912,24954395.669937316,24457603.426120985,5.960464477539063e-08
58020.0,53.09035145175599,49.28581404441037,1,377.1394262745959,1131.4182788237877,661.8070290351199,58.571628088820745,477.0889908811407,55368290.075319685,41526217.556489706,15444722.84585823,1102198.897728132,25585139.438855186,755513.9705634912,24979295.81290341,24482940.54112707,6.705522537231445e-08
58080.0,53.05969552305445,49.31557783818365,1,374.28671948775525,1122.8601584632656,661.193910461089,58.6311556763673,469.51235768279844,55458462.01821826,41593846.513663635,15484413.021374607,1105714.9867217466,25613538.059443254,757013.9705634912,25003718.505567346,24507823.07272153,6.332993507385254e-08
58140.0,53.02761391791529,49.344789613835786,1,371.39582678739623,1114.1874803621886,660.5522783583058,58.68957922767157,461.8261677315696,55547944.64697256,41660958.48522936,15524065.544966634,1109234.6143273483,25641478.731494043,758513.9705634912,25027658.325935446,24532244.117166717,7.078051567077637e-08
58200.0,52.99419614705251,49.37344203143444,1,368.4706448571776,1105.4119345715328,659.8839229410503,58.74688406286889,454.0425660985059,55636729.27302098,41727546.95476568,15563678.760427125,1112757.7138536402,25668955.25213281,760013.9705634912,25051110.48048498,24556197.538279194,6.705522537231445e-08
58260.0,52.95952303571863,49.40152858037099,1,365.5146641113117,1096.543992333935,659.1904607143726,58.803057160741986,446.17250470059395,55724808.09359508,41793606.07019625,15603251.11369124,1116284.2177791514,25695962.110969275,761513.9705634912,25074070.73872593,24579677.89319015,7.450580596923828e-08
58320.0,52.9236673182065,49.429043496664086,1,362.5310012221461,1087.593003666438,658.47334636413,58.85808699332817,438.2258272214184,55812174.0981351,41859130.57360126,15642781.142770326,1119814.0578467313,25722494.421057884,763013.9705634912,25096535.372984275,24602680.363211177,7.450580596923828e-08
58380.0,52.88669423123978,49.4559816863432,1,359.52243065859676,1078.5672919757903,657.7338846247956,58.9119633726864,430.211353130031,55898820.98239905,41924115.736799225,15682267.468399297,1123347.1651484882,25748547.85493138,764513.9705634912,25118501.10325151,24625200.689782914,7.078051567077637e-08
58440.0,52.84866209873924,49.48233865481207,1,356.49141498438274,1069.4742449531482,656.9732419747847,58.964677309624136,422.13695986846733,55984743.06999664,41988557.302497424,15721708.785391623,1126883.4702018935,25774118.585624754,766013.9705634912,25139965.04690398,24647235.11542289,7.078051567077637e-08
58500.0,52.80962290171777,49.508110442031494,1,353.4401337223386,1060.320401167016,656.1924580343555,59.01622088406299,414.00966244465934,56069935.241026,42052451.43076944,15761103.85468766,1130422.9030177603,25799203.23255606,767513.9705634912,25160924.673064098,24668780.32953833,7.450580596923828e-08
58560.0,52.769622828241644,49.533293563311716,1,350.3705106427405,1051.1115319282214,655.3924565648329,59.06658712662343,405.835689822213,56154392.8674511,42115794.650588274,15800451.496075343,1133965.3931607823,25823798.812089346,769013.9705634912,25181377.76135222,24689833.418928593,7.078051567077637e-08
58620.0,52.72870279947927,49.55788495546608,1,347.28423937956256,1041.8527181386876,654.5740559895854,59.11576991093216,397.6205576392544,56238111.754829265,42178583.8161219,15839750.581556845,1137510.8698032936,25847902.692572903,770513.9705634912,25201322.36476183,24710391.822769642,7.078051567077637e-08
58680.0,52.6868989688443,49.58188192804881,1,344.1828073188276,1032.5484219564828,653.737979376886,59.16376385609762,389.36913691575415,56321088.089979894,42240816.06748487,15879000.029330596,1141059.2617728736,25871512.55362165,772013.9705634912,25220756.77638147,24730453.291848805,7.078051567077637e-08
58740.0,52.644243192119056,49.6052821193796,1,341.06751773792985,1023.2025532137895,652.8848638423812,59.210564238759204,381.0857185215275,56403318.39417671,42302488.795632474,15918198.798355022,1144610.4975943903,25894626.34939571,773513.9705634912,25239679.499683134,24750015.851801347,7.078051567077637e-08
58800.0,52.600763467218606,49.62808345704474,1,337.9395102042219,1013.8185306126657,652.0152693443721,59.25616691408948,372.77407327580295,56484799.48144407,42363599.611083,15957345.883458348,1148164.50552704,25917242.275616415,775013.9705634912,25258089.222097684,24769077.770089403,7.078051567077637e-08
58860.0,52.55648434292852,49.65028412255866,1,334.79977926554193,1004.3993377966258,651.1296868585704,59.30056824511732,364.43750763438055,56565528.42154313,42424146.31615729,15996440.310957495,1151721.2135968988,25939358.74005591,776513.9705634912,25275984.791602965,24787637.52645904,7.078051567077637e-08
58920.0,52.51142729652156,49.67188251986935,1,331.64919148514053,994.9475744554215,650.2285459304312,59.3437650397387,356.07891499218726,56645502.50724381,42484126.88043281,16035481.134748809,1155280.549625467,25960974.336236216,778013.9705634912,25293365.196058597,24805693.786610775,6.705522537231445e-08
58980.0,52.465611080639334,49.69287724739506,1,328.4885008889822,985.4655026669466,649.3122216127867,59.38575449479012,347.700822688832,56724719.225493215,42543539.41911985,16074467.43283341,1158842.4412546502,25982087.820076894,779513.9705634912,25310229.54503186,24823245.37882227,7.078051567077637e-08
59040.0,52.41905204021611,49.713267073288186,1,325.31836290516594,975.9550887154978,648.3810408043222,59.42653414657637,339.30543485276144,56803176.23210864,42602382.174081415,16113398.304240743,1162406.8159685798,26002698.089237478,781013.9705634912,25326577.053872164,24840291.273268923,7.078051567077637e-08
59100.0,52.37176440053669,49.73305091363316,1,322.1393468835268,966.4180406505805,647.4352880107338,59.466101827266314,330.89467125770307,56880871.32964397,42660653.497232914,16152272.866314972,1165973.601112646,26022804.16490994,782513.9705634912,25342407.02980537,24856830.56379732,7.078051567077637e-08
59160.0,52.32376052775929,49.752227813298894,1,318.9519472889189,956.8558418667567,646.4752105551859,59.50445562659779,322.47020239333364,56957802.44809966,42718351.83607468,16191090.252330413,1169542.7239100756,26042405.175827924,784013.9705634912,25357718.859834265,24872862.451917876,7.450580596923828e-08
59220.0,52.27505116341199,49.77079692918161,1,315.7565936645494,947.2697809936483,645.5010232682398,59.541593858363214,314.03348097248966,57033967.628169514,42775475.72112707,16229849.60940379,1173114.111476357,26061500.344272155,785513.9705634912,25372512.000247,24888386.232795823,7.82310962677002e-08
59280.0,52.22564563449002,49.78875751559026,1,312.55365946249054,937.6609783874717,644.5129126898005,59.577515031180525,305.5857701100298,57109365.00674092,42832023.75505562,16268550.0966731,1176687.6908317877,26080088.973865226,787013.9705634912,25386785.96755081,24903401.28303346,7.82310962677002e-08
59340.0,52.17555204085384,49.80610891154423,1,309.34346983746826,928.0304095124047,643.5110408170767,59.61221782308846,297.1281684154249,57183992.804387935,42887994.60329088,16307190.883714791,1180263.3889123825,26098170.438963335,788513.9705634912,25400540.33066378,24917907.050050974,7.82310962677002e-08
59400.0,52.12477742165712,49.82285052976999,1,306.1263084975817,918.3789254927451,642.4955484331424,59.645701059539974,288.6616322426467,57257849.31462001,42943386.98596493,16345771.149173075,1183841.1325793636,26115744.175467055,790013.9705634912,25413774.70421257,24931903.04288771,7.450580596923828e-08
59460.0,52.07332790252818,49.838981847201495,1,302.90242370204663,908.7072711061398,641.4665580505635,59.67796369440299,280.1869953379659,57330932.89467069,42998199.67100295,16384290.07957722,1187420.8486274208,26132809.672887854,791513.9705634912,25426488.742798373,24945388.82426045,7.078051567077637e-08
59520.0,52.0212088251966,49.85450239680552,1,299.672033491655,899.016100474965,640.424176503932,59.709004793611044,271.7049861202415,57403241.95763207,43052431.46822398,16422746.868324775,1191002.4637919136,26149366.467521314,793013.9705634912,25438682.136107367,24958364.003729418,7.450580596923828e-08
59580.0,51.96842486120163,49.86941176057015,1,296.4353302326209,889.3059906978627,639.3684972240327,59.738823521140304,263.2162428191877,57474774.9657606,43106081.224320374,16461140.714810617,1194585.9047551635,26165414.136591792,794513.9705634912,25450354.60475467,24970828.231836647,7.82310962677002e-08
59640.0,51.91498011124542,49.88370956351024,1,293.1924845490822,879.5774536472467,638.2996022249084,59.767419127020474,254.7213266859919,57545530.424798556,43159147.818598844,16499470.82368371,1198171.098151967,26180952.293246508,796013.9705634912,25461505.89676324,24982781.19509456,7.078051567077637e-08
59700.0,52.38488294333716,49.88778918743938,0,289.9436487139091,869.8309461417273,647.6976588667433,59.77557837487876,0.0,57615506.87917306,43211630.15937973,16537907.495361513,1201757.6591689074,26187949.41986821,796706.0406620831,25471965.00484938,24986191.760699324,7.450580596923828e-08
59760.0,53.21979180680937,49.88349938204703,0,286.6889595617783,860.0668786853348,664.3958361361874,59.766998764094055,0.0,57684702.90795028,43263527.18096264,16577280.88399234,1205343.9364769189,26187949.41986821,796706.0406620831,25480902.360493455,24982605.483391315,7.82310962677002e-08
