time_s,collector_c,tank_c,pump_on,irradiance_w_m2,solar_absorbed_w,collector_loss_w,tank_loss_w,transfer_w,incident_energy_j,absorbed_energy_j,collector_loss_energy_j,tank_loss_energy_j,transfer_energy_j,pump_electric_energy_j,stored_energy_change_j,tank_energy_change_j,balance_residual_j
55620.0,68.24545116959541,64.03520845285242,1,495.27515944786734,1485.825478343602,964.9090233919082,88.07041690570483,527.9644366795717,78559584.17872582,58919688.13404442,19992615.07833675,1389957.021579071,38203391.288163766,1390500.0000000002,37537116.034128554,36813434.26658462,-5.21540641784668e-08
55680.0,68.21692793991345,64.06650842641993,1,492.52918026052674,1477.5875407815802,964.3385587982689,88.13301685283986,520.462606992087,78678120.8875552,59008590.665666446,20050492.572059795,1395243.1300208454,38234844.174507976,1392000.0000000002,37562854.963585764,36839601.04448706,-4.470348358154297e-08
55740.0,68.18774223652902,64.09726500059666,1,489.7738240275597,1469.321472082679,963.7548447305803,88.19453000119333,512.9458453859172,78795997.43508676,59096998.07631511,20108335.440402895,1400532.9618654214,38265846.5023643,1393500.0000000002,37588129.67404674,36865313.54049881,-5.960464477539063e-08
55800.0,68.15789426700847,64.1274771871642,1,487.0091432069767,1461.0274296209302,963.1578853401695,88.2549543743284,505.4143018124714,78913211.57712094,59184908.68284076,20166142.88852084,1405826.4518454697,38296397.380314805,1395000.0000000002,37612939.3424744,36890570.92846927,-4.470348358154297e-08
55860.0,68.12738425200104,64.15714400881699,1,484.2351904343156,1452.7055713029467,962.5476850400207,88.31428801763397,497.86812649527997,79029761.08206947,59272320.81155215,20223914.121825352,1411123.5345757296,38326495.925946794,1396500.0000000002,37637283.15515101,36915372.391371,-5.960464477539063e-08
55920.0,68.09621242523387,64.18626449918027,1,481.4520185216389,1444.3560555649167,961.9242485046775,88.37252899836054,490.30746992712193,79145643.73099774,59359232.79824836,20281648.346000776,1416424.1445543196,38356141.26586909,1398000.0000000002,37661160.30769321,36939717.121314704,-5.21540641784668e-08
55980.0,68.06437903350697,64.21483770282771,1,478.6596804565271,1435.9790413695814,961.2875806701393,88.42967540565542,482.732482867179,79260857.3176672,59445642.98825044,20339344.767019767,1421728.2161640495,38385332.53572808,1399500.0000000002,37684570.005066566,36963604.31956396,-5.21540641784668e-08
56040.0,68.0318843366879,64.24286267529885,1,475.85822940107334,1427.57468820322,960.6376867337578,88.4857253505977,475.14331633818597,79375399.6485772,59531549.73643295,20397002.59115899,1427035.6836737364,38414068.88022365,1401000.0000000002,37707511.46160016,36987033.19654984,-5.21540641784668e-08
56100.0,67.99872860770616,64.27033848311632,1,473.0477186908658,1419.1431560725973,959.974572154123,88.54067696623264,467.5401216235654,79489268.54300688,59616951.40725521,20454621.025014788,1432346.4812395205,38442349.45312483,1402500.0000000002,37729983.901000835,37010002.97188524,-6.705522537231445e-08
56160.0,67.96491213254724,64.29726420380288,1,470.2282018339786,1410.6846055019357,959.2982426509448,88.59452840760576,459.9230502645425,79602461.83305663,59701846.374792516,20512199.275518846,1437660.5429061842,38470173.417285465,1404000.0000000002,37751986.55636742,37032512.87437921,-5.960464477539063e-08
