time_s,collector_c,tank_c,pump_on,irradiance_w_m2,solar_absorbed_w,collector_loss_w,tank_loss_w,transfer_w,incident_energy_j,absorbed_energy_j,collector_loss_energy_j,tank_loss_energy_j,transfer_energy_j,pump_electric_energy_j,stored_energy_change_j,tank_energy_change_j,balance_residual_j
33300.0,38.83365815850345,30.089285466071242,1,488.9879191678684,1466.9637575036054,376.67316317006896,20.178570932142485,1096.5443356309984,14655419.132724332,10991564.349543251,2191153.273735964,83263.55379417483,8517906.203429736,832500.0000000001,8717147.522013111,8434642.649635559,0.0
33360.0,38.804841506189014,30.166060904919327,1,483.7471453742219,1451.2414361226656,376.09683012378025,20.332121809838654,1083.3030873992186,14772154.07835599,11079115.558766995,2213737.1354717263,84478.88418987703,8583305.800702434,834000.0000000001,8780899.539105391,8498826.916512556,0.0
33420.0,38.76836331316192,30.241845064590553,1,478.16973490261466,1434.509204707844,375.36726626323843,20.483690129181106,1069.2253883708495,14887590.827800835,11165693.120850628,2236281.8283950663,85703.36876042954,8647885.842758132,835500.0000000001,8843707.923695132,8562182.473997703,0.0
33480.0,38.724155745474185,30.31657800388363,1,472.257113671883,1416.771341015649,374.4831149094837,20.633156007767262,1054.3102487954554,15001648.730256414,11251236.547692312,2258778.1153069977,86936.88495648603,8711596.096203202,837000.0000000001,8905521.547428828,8624659.211246716,0.0
33540.0,38.6721784678868,30.390199841330467,1,466.0122039954053,1398.0366119862158,373.443569357736,20.780399682660935,1038.5601197701642,15114247.65508678,11335685.741315087,2281216.6939076427,88179.30303687048,8774386.370389141,838500.0000000001,8966289.744370572,8686207.06735227,-1.862645149230957e-09
33600.0,38.6124206024315,30.46265100985426,1,459.43950275907565,1378.318508277227,372.24841204863,20.925302019708518,1021.9811069091858,15225308.36045686,11418981.270342646,2303588.230977142,89430.48609087162,8836206.730329033,840000.0000000001,9025962.553274633,8746776.24423816,1.862645149230957e-09
33660.0,38.54490260329069,30.533872526296648,1,452.54515317283426,1357.6354595185028,370.8980520658138,21.067745052593295,1004.5831716550525,15334752.879978778,11501064.659984086,2325883.398858729,90690.29009199738,8897007.722075997,841500.0000000001,9084490.971033359,8806317.431983998,0.0
33720.0,38.46967802679683,30.603806274834152,1,445.33700907726296,1336.0110272317888,369.39356053593656,21.207612549668305,986.3803176961194,15442504.92570545,11581878.694279088,2348092.914130868,91958.56398491669,8956740.609746268,843000.0000000001,9141827.216163304,8864782.04576135,1.862645149230957e-09
33780.0,38.38683517507613,30.672395303121537,1,437.82469079937545,1313.4740723981263,367.7367035015226,21.344790606243073,967.3907599431059,15548490.305563558,11661367.72917267,2370207.578329735,93235.14980718738,9015357.623216793,844500.0000000001,9197925.001035746,8922122.473409604,-1.862645149230957e-09
33840.0,38.296498591814824,30.739584129817747,1,430.01963157658304,1290.0588947297492,365.9299718362965,21.479168259635493,947.6370735344335,15652637.35307942,11739478.014809566,2392218.320557489,94519.8828472186,9072812.215374853,846000.0000000001,9252739.811404858,8978292.332527636,-1.862645149230957e-09
33900.0,38.198830388819516,30.80531906196996,1,421.935113605506,1265.8053408165179,363.9766077763903,21.61063812393992,927.1463203869342,15754877.36701997,11816158.025264978,2414116.2417860557,95812.59183974392,9129059.32764663,847500.0000000001,9306229.191639181,9033246.735806888,1.862645149230957e-09
33960.0,38.094031382491885,30.869548520556084,1,413.5862928228645,1240.7588784685936,361.8806276498377,21.739097041112167,905.9501508867494,15855145.05835059,11891358.793762943,2435892.660640789,97113.09919988803,9184055.662384776,849000.0000000001,9358353.033922264,9086942.563184885,-1.862645149230957e-09
34020.0,37.98234202004908,30.932223372317306,1,404.99021158943236,1214.970634768297,359.64684040098166,21.864446744634613,884.0848784255645,15953379.001704566,11965034.251278425,2457539.160423724,98421.22129669522,9237759.960553965,850500.0000000001,9409073.869558005,9139338.739257269,0.0
34080.0,37.864043076299566,30.993297265852878,1,396.1657985246354,1188.4973955739063,357.2808615259913,21.986594531705755,861.5915246300148,16049522.088368986,12037141.56627674,2479047.637112485,99736.76876675474,9290133.283019762,852000.0000000001,9458357.1603975,9190396.514253005,0.0
34140.0,37.73945610303626,31.052726969801242,1,387.13385482877055,1161.4015644863116,354.7891220607252,22.105453939602484,838.5158333076713,16143521.977621745,12107641.48321631,2500410.3480486227,101059.54686830504,9341139.293622144,853500.0000000001,9506171.588299382,9240079.746753838,0.0
34200.0,37.60894361462599,31.11047271079729,1,377.9170265312795,1133.7510795938383,352.1788722925198,22.22094542159458,814.9082513401194,16235331.543107133,12176498.657330351,2521619.961008497,102389.35587593012,9390744.542102464,855000.0000000001,9552489.340445925,9288355.186226534,0.0
34260.0,37.47290899515971,31.166498508777327,1,368.539762216588,1105.619286649764,349.45817990319426,22.332997017554653,790.8238749923512,16324909.310816111,12243681.983112086,2542669.603331168,103725.99151567637,9438918.744853523,856500.0000000001,9597286.388265241,9335192.753337845,-1.862645149230957e-09
34320.0,37.33179611456335,31.220772507103174,1,359.02825590259647,1077.0847677077895,346.6359222912671,22.441545014206348,766.3223603755065,16412219.885144293,12309164.91385822,2563552.910761396,105069.24544012097,9485635.061378375,858000.0000000001,9640542.757656703,9380565.815938253,0.0
34380.0,37.18608864334993,31.273267294897078,1,349.41037488008965,1048.231124640269,343.72177286699866,22.546534589794156,741.467797095988,16497234.359438516,12372925.769578889,2584264.075652068,106418.90574261408,9530870.364276571,859500.0000000001,9682242.788184207,9424451.458533958,0.0
34440.0,37.03630905819245,31.32396021892144,1,339.7155724627506,1019.1467173882518,340.726181163849,22.647920437842878,716.3285444445848,16579930.70741371,12434948.030560287,2604797.894159474,107774.75750960101,9574605.500527924,861000.0000000001,9722375.378891211,9466830.743018324,-1.862645149230957e-09
